username,rank,track_name,artist
emosoup,1,Born This Way,Lady Gaga
emosoup,2,Highway Unicorn (Road to Love),Lady Gaga
emosoup,3,Judas,Lady Gaga
emosoup,4,Americano,Lady Gaga
emosoup,5,Bad Kids,Lady Gaga
emosoup,6,Bloody Mary,Lady Gaga
emosoup,7,Government Hooker,Lady Gaga
emosoup,8,Hair,Lady Gaga
emosoup,9,Heavy Metal Lover,Lady Gaga
emosoup,10,Marry the Night,Lady Gaga
riddy_pr,1,Death Of Me,Amira Elfeky
riddy_pr,2,9th Heaven,Backxwash
riddy_pr,3,pick your poison,KiLLOWEN
riddy_pr,4,Rest Of My Life,"Sigma, Shakka"
riddy_pr,5,Deep End,William Black
riddy_pr,6,Space Age Love Song,A Flock of Seagulls
riddy_pr,7,Diet Pepsi,Addison Rae
riddy_pr,8,Headphones On,Addison Rae
riddy_pr,9,Take It Back,Aidan Black
riddy_pr,10,Crossed The Line,Amira Elfeky
TheGirlNamedSig,1,Thnks fr th Mmrs,Fall Out Boy
TheGirlNamedSig,2,Union City Blue - Single Version,Blondie
TheGirlNamedSig,3,"Dance, Dance",Fall Out Boy
TheGirlNamedSig,4,Go With the Flow,Queens of the Stone Age
TheGirlNamedSig,5,Mirror in the Bathroom - 2012 Remaster,The English Beat
TheGirlNamedSig,6,Born Slippy .NUXX,Underworld
TheGirlNamedSig,7,Bye Bye Bye,*NSYNC
TheGirlNamedSig,8,Pump It,Black Eyed Peas
TheGirlNamedSig,9,Call Me,Blondie
TheGirlNamedSig,10,Dreaming,Blondie
eventually_,1,Nothing Remains,Chimaira
eventually_,2,RUBBLE,Black Magic Garden
eventually_,3,FLYYYING,Deko
eventually_,4,Gold,Yue
eventually_,5,Divine,All That Remains
eventually_,6,WATER WITCH,Black Magic Garden
eventually_,7,This Calling,All That Remains
eventually_,8,Two Weeks,All That Remains
eventually_,9,hello,Yue
eventually_,10,Nice Place California,Deep October
DudeBro231,1,Style,2hollis
DudeBro231,2,that’s so true,Gracie Abrams
DudeBro231,4,Girls,The Dare
DudeBro231,5,flash,2hollis
DudeBro231,6,Face to Face,fakemink
DudeBro231,7,Girls,The 1975
DudeBro231,8,Tell Me,2hollis
DudeBro231,9,LV Sandals,EsDeeKid
DudeBro231,10,mileys riddim,Jim Legxacy
Brotendo,1,Cream of the Crop,Dance Gavin Dance
Brotendo,2,Synergy - feat. Rob Damiani,Dance Gavin Dance
Brotendo,3,Untitled 2,Dance Gavin Dance
Brotendo,4,Finger Twist & Split,Cute Is What We Aim For
