username,rank,track_name,artist
emosoup,1,Salvation,Rebecca Black
emosoup,2,Do You Even Think About Me?,Rebecca Black
emosoup,3,Twist The Knife,Rebecca Black
emosoup,4,Tears In My Pocket,Rebecca Black
emosoup,5,Trust!,Rebecca Black
emosoup,6,American Doll,Rebecca Black
emosoup,7,Sugar Water Cyanide,Rebecca Black
emosoup,8,Chewing Gum,Amyl and the Sniffers
emosoup,9,Jerkin',Amyl and the Sniffers
emosoup,10,Obsidian,Northlane
riddy_pr,1,Relationships,HAIM
riddy_pr,2,I Don't Want to Live Like This,James Marriott
riddy_pr,3,Ordinary,Alex Warren
riddy_pr,4,How Can You Swallow So Much Sleep,Bombay Bicycle Club
riddy_pr,5,Perfect World,Brand of Sacrifice
riddy_pr,6,"""And You Called"" (interlude)",clipping.
riddy_pr,7,The Light Won't Shine Forever,Floodlights
riddy_pr,8,Walla Walla,Glass Animals
riddy_pr,9,Daylight Robbery,Imogen Heap
riddy_pr,10,INTERLUDE (PURITY),NervePitch
TheGirlNamedSig,1,They Say I'm Different,Betty Davis
TheGirlNamedSig,2,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,*NSYNC
TheGirlNamedSig,3,Pull Up To The Bumper,Grace Jones
TheGirlNamedSig,4,Lust For Life,Iggy Pop
TheGirlNamedSig,5,Chain Hang Low,Jibbs
TheGirlNamedSig,6,POWER,Kanye West
TheGirlNamedSig,7,Go With the Flow,Queens of the Stone Age
TheGirlNamedSig,8,I Wanna Be Adored - Remastered 2009,The Stone Roses
TheGirlNamedSig,9,The Hills,The Weeknd
TheGirlNamedSig,10,Boom Boom Pow,Black Eyed Peas
eventually_,1,Skyline,ERRA
eventually_,2,Hovel,Ghost Mountain
eventually_,3,Stalks,Ghost Mountain
eventually_,4,Get over It,Soul Waster
eventually_,5,Marathon,Bleed
eventually_,6,Mental/Wicked,Soul Waster
eventually_,7,Out of Time,Soul Waster
eventually_,8,R.O.T,Soul Waster
eventually_,9,Sick and Twisted,Soul Waster
eventually_,10,Toil Grind,Soul Waster
