username,track_name,artist,rank,playcount
emosoup,Abracadabra,Lady Gaga,1,8
emosoup,Disease,Lady Gaga,2,8
emosoup,Don't Call Tonight,Lady Gaga,3,8
emosoup,Garden of Eden,Lady Gaga,4,8
emosoup,How Bad Do U Want Me,Lady Gaga,5,8
emosoup,LoveDrug,Lady Gaga,6,8
emosoup,Perfect Celebrity,Lady Gaga,7,8
emosoup,Vanish Into You,Lady Gaga,8,8
emosoup,Zombieboy,Lady Gaga,9,8
emosoup,Highway Unicorn (Road to Love),Lady Gaga,10,7
riddy_pr,Death Of Me,Amira Elfeky,1,2
riddy_pr,9th Heaven,Backxwash,2,2
riddy_pr,pick your poison,KiLLOWEN,3,2
riddy_pr,Rest Of My Life,"Sigma, Shakka",4,2
riddy_pr,Space Age Love Song,A Flock of Seagulls,5,1
riddy_pr,Diet Pepsi,Addison Rae,6,1
riddy_pr,Headphones On,Addison Rae,7,1
riddy_pr,Crossed The Line,Amira Elfeky,8,1
riddy_pr,Fatal Attraction,Amira Elfeky,9,1
riddy_pr,Forever Overdose,Amira Elfeky,10,1
TheGirlNamedSig,Thnks fr th Mmrs,Fall Out Boy,1,3
TheGirlNamedSig,Go With the Flow,Queens of the Stone Age,2,3
TheGirlNamedSig,Born Slippy .NUXX,Underworld,3,3
TheGirlNamedSig,Union City Blue - Single Version,Blondie,4,2
TheGirlNamedSig,Touch Me Tease Me,Case,5,2
TheGirlNamedSig,"Jumpin', Jumpin'",Destiny's Child,6,2
TheGirlNamedSig,"Dance, Dance",Fall Out Boy,7,2
TheGirlNamedSig,P.Y.T. (Pretty Young Thing),Michael Jackson,8,2
TheGirlNamedSig,Song For The Dead,Queens of the Stone Age,9,2
TheGirlNamedSig,Monkberry Moon Delight,Screamin' Jay Hawkins,10,2
eventually_,Nothing Remains,Chimaira,1,146
eventually_,RUBBLE,Black Magic Garden,2,82
eventually_,Pieces,Lund,3,22
eventually_,WATER WITCH,Black Magic Garden,4,5
eventually_,Divine,All That Remains,5,4
eventually_,80/20,Moray Pringle,6,4
eventually_,Gone,Charli XCX,7,3
eventually_,Nice Place California,Deep October,8,3
eventually_,No Love/No One,Gideon,9,3
eventually_,Bleed American,Jimmy Eat World,10,3
DudeBro231,Feel It (From “Invincible”),d4vd,1,20
DudeBro231,Style,2hollis,2,16
DudeBro231,that’s so true,Gracie Abrams,3,15
DudeBro231,Girls,The Dare,4,14
